,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Lamar Stevens,2.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Dean Wade,17.0,0.0,7.0,0.8,1.4,56.5,0.2,0.6,36.4,0.0,0.1,0.0,0.2,1.2,1.4,0.3,0.3,0.4,0.9,0.4,1.8
Dylan Windler,1.0,0.0,9.0,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
Saddiq Bey,5.0,2.0,20.2,2.6,7.8,33.3,2.4,5.0,48.0,1.2,2.0,60.0,0.4,4.0,4.4,0.8,0.0,0.6,1.6,0.6,8.8
Sekou Doumbouya,44.0,19.0,18.7,2.3,6.0,38.5,0.7,2.4,29.2,0.8,1.2,68.6,0.6,2.5,3.1,0.5,0.2,0.5,1.9,0.8,6.1
Wayne Ellington,682.0,166.0,21.0,2.9,7.1,40.8,1.5,4.0,37.8,0.7,0.8,84.6,0.3,1.9,2.2,1.1,0.1,0.5,1.2,0.7,8.0
Jerami Grant,460.0,175.0,24.7,3.3,7.2,46.4,0.8,2.4,34.6,2.0,2.9,67.3,0.9,2.9,3.9,1.1,1.1,0.6,2.3,0.9,9.5
Blake Griffin,626.0,626.0,34.8,8.1,16.3,49.8,0.7,2.0,33.4,4.8,6.9,69.4,2.1,6.7,8.8,4.4,0.5,0.9,2.8,2.6,21.6
Killian Hayes,6.0,6.0,22.3,1.7,6.5,25.6,0.7,2.8,23.5,0.2,0.3,50.0,0.2,1.2,1.3,4.0,0.0,0.3,2.3,2.3,4.2
Frank Jackson,120.0,18.0,16.4,2.7,6.5,42.2,0.8,2.6,31.9,0.9,1.2,74.3,0.4,1.4,1.8,1.1,0.1,0.4,1.4,0.8,7.2
Josh Jackson,184.0,68.0,24.3,4.6,10.9,42.0,0.9,3.0,29.8,2.0,3.0,65.5,1.0,3.3,4.3,1.9,0.6,1.0,2.6,1.9,12.0
