,id,height,weight,age,position,jersey,salary,FLName,experience,Team,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Al Horford,3213,81.0,240.0,34,C,42,27500000.0,Al Horford,13,Oklahoma City Thunder,,857.0,847.0,32.6,5.9,11.3,52.0,0.6,1.5,36.4,1.7,2.2,75.5,2.1,6.2,8.3,3.3,1.2,0.8,2.3,1.6,13.9
Justin Jackson,3138156,79.0,220.0,25,SF,44,5029650.0,Justin Jackson,3,Oklahoma City Thunder,,215.0,59.0,19.5,2.5,5.8,43.2,0.9,2.8,32.2,0.6,0.8,79.0,0.5,2.1,2.6,1.0,0.2,0.3,1.2,0.4,6.5
Ty Jerome,4065733,77.0,195.0,23,SG,16,2303040.0,Ty Jerome,1,Oklahoma City Thunder,,31.0,0.0,10.6,1.2,3.6,33.6,0.5,1.6,28.0,0.4,0.5,75.0,0.2,1.3,1.5,1.4,0.1,0.5,0.9,0.6,3.3
Theo Maledon,4683027,77.0,180.0,19,PG,11,2000000.0,Theo Maledon,0,Oklahoma City Thunder,,5.0,0.0,21.2,2.6,5.8,44.8,1.0,3.6,27.8,0.8,1.4,57.1,0.2,1.6,1.8,2.6,0.0,0.8,2.0,2.2,7.0
Darius Miller,6610,80.0,225.0,30,SF,12,7000000.0,Darius Miller,5,Oklahoma City Thunder,,253.0,28.0,20.4,2.1,4.9,41.8,1.3,3.4,38.2,0.6,0.7,83.0,0.2,1.5,1.7,1.4,0.2,0.4,2.0,0.6,6.0
Mike Muscala,2490089,83.0,240.0,29,PF,33,2283034.0,Mike Muscala,7,Oklahoma City Thunder,,359.0,30.0,15.5,2.1,4.5,46.2,0.8,2.1,37.0,0.7,0.9,84.2,0.9,2.3,3.1,0.9,0.5,0.4,1.5,0.6,5.7
Aleksej Pokusevski,4683018,84.0,195.0,19,PF,17,2964840.0,Aleksej Pokusevski,0,Oklahoma City Thunder,,5.0,0.0,16.0,0.4,4.2,9.5,0.2,3.2,6.3,0.0,0.0,0.0,0.2,3.6,3.8,1.4,1.0,1.0,1.2,2.0,1.0
Isaiah Roby,4066392,80.0,230.0,22,SF,22,1517981.0,Isaiah Roby,1,Oklahoma City Thunder,,5.0,1.0,11.4,2.4,3.6,66.7,0.2,0.8,25.0,0.2,1.4,14.3,1.2,1.8,3.0,0.0,0.4,0.2,1.6,0.8,5.2
Kenrich Williams,3133626,79.0,210.0,26,SG,34,1416852.0,Kenrich Williams,2,Oklahoma City Thunder,,90.0,47.0,21.9,1.8,4.9,36.5,0.9,2.9,30.2,0.3,0.5,53.1,1.2,3.4,4.6,1.6,0.5,0.8,2.1,0.7,4.7
Carmelo Anthony,1975,80.0,238.0,36,PF,00,1620564.0,Carmelo Anthony,17,Portland Trail Blazers,,1127.0,1114.0,35.6,8.4,18.8,44.8,1.3,3.7,34.9,5.4,6.6,81.2,1.7,4.8,6.5,2.9,0.5,1.0,2.9,2.6,23.5
Keljin Blevins,3152335,78.0,200.0,25,SF,21,0.0,Keljin Blevins,0,Portland Trail Blazers,,3.0,0.0,5.7,0.3,2.0,16.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.7,1.0,0.7
Zach Collins,4066650,83.0,250.0,23,PF,33,5406255.0,Zach Collins,3,Portland Trail Blazers,,154.0,12.0,17.5,2.2,4.9,44.4,0.5,1.6,32.4,0.8,1.1,72.2,1.2,2.8,4.0,0.9,0.7,0.3,2.2,1.0,5.7
Robert Covington,2490620,79.0,209.0,30,PF,23,12138345.0,Robert Covington,7,Portland Trail Blazers,,402.0,354.0,30.0,4.2,10.4,40.5,2.3,6.5,35.5,1.9,2.3,81.1,0.9,4.8,5.7,1.5,0.9,1.7,3.0,1.7,12.6
CJ Elleby,4397166,78.0,200.0,20,SG,16,898310.0,CJ Elleby,0,Portland Trail Blazers,,3.0,0.0,5.7,0.7,1.7,40.0,0.0,1.0,0.0,0.0,0.3,0.0,0.3,0.3,0.7,0.7,0.0,0.0,1.0,0.0,1.3
Rodney Hood,2581177,80.0,208.0,28,SG,5,10047450.0,Rodney Hood,6,Portland Trail Blazers,,346.0,248.0,27.1,4.5,10.5,42.5,1.7,4.5,37.3,1.7,2.0,83.9,0.3,2.5,2.9,1.9,0.2,0.8,2.2,1.1,12.3
Enes Kanter,6447,82.0,250.0,28,C,11,5005350.0,Enes Kanter,9,Portland Trail Blazers,,647.0,223.0,21.7,4.7,8.7,54.4,0.1,0.2,28.7,2.0,2.6,77.6,2.9,4.7,7.6,0.8,0.5,0.4,2.2,1.5,11.6
Damian Lillard,6606,74.0,195.0,30,PG,0,31626953.0,Damian Lillard,8,Portland Trail Blazers,,621.0,621.0,36.4,8.0,18.2,43.7,2.9,7.8,37.3,5.4,6.1,88.9,0.6,3.6,4.2,6.5,0.3,1.0,2.0,2.8,24.2
Nassir Little,4395652,77.0,220.0,20,SF,9,2210640.0,Nassir Little,1,Portland Trail Blazers,,48.0,5.0,11.9,1.4,3.1,43.0,0.3,1.2,23.7,0.6,0.9,63.6,0.6,1.6,2.3,0.5,0.3,0.3,1.5,0.3,3.6
CJ McCollum,2490149,75.0,190.0,29,SG,3,29354152.0,CJ McCollum,7,Portland Trail Blazers,B,487.0,390.0,31.0,7.1,15.7,45.4,2.1,5.4,39.8,2.2,2.6,82.7,0.6,2.7,3.3,3.2,0.4,0.9,2.2,1.7,18.6
Jusuf Nurkic,3102530,84.0,290.0,26,C,27,12888889.0,Jusuf Nurkic,6,Portland Trail Blazers,,324.0,243.0,23.2,4.7,9.5,49.1,0.0,0.2,11.9,2.3,3.5,67.0,2.5,5.5,8.0,2.0,1.3,0.9,3.1,2.1,11.7
Anfernee Simons,4351851,75.0,181.0,21,SG,1,2252040.0,Anfernee Simons,2,Portland Trail Blazers,L,95.0,5.0,17.4,2.6,6.6,40.1,1.0,2.9,33.5,0.9,1.2,78.6,0.3,1.5,1.8,1.2,0.1,0.3,1.6,0.8,7.2
Udoka Azubuike,4066299,84.0,270.0,21,C,20,1977000.0,Udoka Azubuike,0,Utah Jazz,,2.0,0.0,4.5,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,2.0
Bojan Bogdanovic,3593,80.0,216.0,31,SF,44,17850000.0,Bojan Bogdanovic,6,Utah Jazz,,468.0,351.0,28.6,5.0,10.9,45.9,1.9,4.8,39.4,2.3,2.7,85.8,0.5,3.0,3.5,1.5,0.1,0.6,1.6,1.6,14.2
Jarrell Brantley,3912292,79.0,250.0,24,PF,5,0.0,Jarrell Brantley,1,Utah Jazz,,9.0,0.0,10.7,1.1,3.1,35.7,0.3,1.4,23.1,0.1,0.2,50.0,0.2,2.0,2.2,1.2,0.6,0.3,0.8,0.8,2.7
